"Data operação","Categoria","Código Ativo","Operação C/V","Quantidade","Preço unitário","Corretora"
"2024-10-11","Renda Fixa","CDB-SOFISA-11030","Compra","1.0000","5300.00","investidor10"
"2024-03-25","Renda Fixa","CDB-SOFISA-11027","Compra","1.0000","16666.66","investidor10"
"2024-02-05","Renda Fixa","CDB-SOFISA-11027-1","Compra","1.0000","3630.09","investidor10"
"2024-02-01","Renda Fixa","CDB-BANCOSEG-11525","Compra","1.0000","3000.00","investidor10"
"2023-12-29","Renda Fixa","CDB-C6-11825","Compra","1.0000","6485.73","investidor10"
"2023-12-21","Renda Fixa","CDB-SOFISA-11026","Compra","1.0000","10000.00","investidor10"
"2023-08-01","Renda Fixa","CDB-BANCOSEG-10625-3","Compra","1.0000","5059.56","investidor10"
"2023-07-17","Renda Fixa","CDB-BANCOSEG-10625-2","Compra","1.0000","330.00","investidor10"
"2023-05-05","Renda Fixa","CDB-BANCOSEG-10625-1","Compra","1.0000","1122.43","investidor10"
"2023-03-14","Renda Fixa","CDB-BANCOSEG-10625","Compra","1.0000","719.14","investidor10"
"2026-06-10","Tesouro Direto","TESOURO IPCA+ COM JUROS SEMESTRAIS 2060","Compra","1.23000000","4033.48000000","investidor10"
"2026-01-19","Tesouro Direto","TESOURO IPCA+ 2040","Compra","3.06000000","1627.55000000","investidor10"
"2024-12-31","Tesouro Direto","TESOURO PREFIXADO 2027","Compra","5.37000000","745.92000000","investidor10"
"2024-07-12","Tesouro Direto","TESOURO IPCA+ 2029","Compra","1.23000000","3230.50000000","investidor10"
"2023-12-22","Tesouro Direto","TESOURO PREFIXADO COM JUROS SEMESTRAIS 2033","Compra","4.85000000","1030.45000000","investidor10"
"2022-05-02","Tesouro Direto","TESOURO IPCA+ 2026","Compra","1.27000000","3130.08000000","investidor10"
"2025-11-06","BDR","MSFT34","Compra","27.00000000","111.13000000","investidor10"
"2025-11-06","Ações","POMO4","Compra","300.00000000","7.02000000","investidor10"
"2025-11-04","ETF","DIVD11","Venda","51.00000000","57.24000000","investidor10"
"2025-11-03","Internacional","SDY","Venda","4.04144185","136.05000000","investidor10"
"2025-11-03","Internacional","NOBL","Venda","5.42722215","100.80000000","investidor10"
"2025-11-03","Internacional","SPHD","Venda","11.01616103","46.96000000","investidor10"
"2025-11-03","Internacional","DHS","Venda","5.12948000","97.47000000","investidor10"
"2025-11-03","Internacional","JEPQ","Compra","7.16003442","58.80000000","investidor10"
"2025-11-03","Internacional","QQQ","Compra","0.99908311","632.00000000","investidor10"
"2025-11-03","Internacional","IVV","Compra","0.91995516","686.99000000","investidor10"
"2025-11-03","Internacional","JEPI","Compra","7.46869711","56.37000000","investidor10"
"2025-10-13","ETF","GOLD11","Compra","18.00000000","23.39000000","investidor10"
"2025-10-01","Internacional","SPHD","Compra","4.01616103","49.80000000","investidor10"
"2025-10-01","Internacional","NOBL","Compra","1.94364215","102.90000000","investidor10"
"2025-10-01","Internacional","IVV","Compra","0.29756591","672.12000000","investidor10"
"2025-10-01","Internacional","SDY","Compra","1.42839185","140.02000000","investidor10"
"2025-10-01","Internacional","QQQ","Compra","0.32461722","603.48000000","investidor10"
"2025-09-23","Ações","MRFG3","Venda","156.00000000","15.78576923","investidor10"
"2025-09-23","Ações","MBRF3","Compra","156.00000000","15.78576923","investidor10"
"2025-09-16","Ações","MRFG3","Compra","57.00000000","26.79000000","investidor10"
"2025-09-10","ETF","DIVD11","Compra","10.00000000","54.80000000","investidor10"
"2025-09-10","FII","CPTS11","Compra","50.00000000","7.42000000","investidor10"
"2025-08-18","Ações","BBSE3","Compra","10.00000000","33.00000000","investidor10"
"2025-08-18","Ações","WEGE3","Compra","20.00000000","36.33000000","investidor10"
"2025-08-18","FII","XPML11","Compra","4.00000000","100.59000000","investidor10"
"2025-08-18","FII","CPTS11","Compra","70.00000000","7.33000000","investidor10"
"2025-08-18","Ações","SAPR4","Compra","300.00000000","6.55000000","investidor10"
"2025-08-18","ETF","NDIV11","Compra","10.00000000","106.81000000","investidor10"
"2025-08-18","ETF","HASH11","Compra","10.00000000","90.58000000","investidor10"
"2025-08-05","Ações","BBAS3","Compra","35.00000000","18.84000000","investidor10"
"2024-05-25","Cripto","UNI","Compra","8.65846994","56.93000000","investidor10"
"2024-04-19","Cripto","ETH","Compra","0.00996139","9880.14000000","investidor10"
"2024-03-23","Cripto","BCH","Compra","0.18662642","3189.25000000","investidor10"
"2024-03-23","Cripto","LINK","Compra","4.30631120","92.14000000","investidor10"
"2024-03-23","Cripto","UNI","Compra","6.69627749","59.25000000","investidor10"
"2024-03-22","Cripto","BTC","Compra","0.00346124","314627.12000000","investidor10"
"2024-03-19","Cripto","SOL","Compra","0.85047335","929.36000000","investidor10"
"2024-03-06","Cripto","SOL","Compra","0.31104042","637.85000000","investidor10"
"2023-12-23","Cripto","ETH","Compra","0.08904515","11198.87000000","investidor10"
"2022-09-11","Cripto","ETH","Compra","0.01081065","9079.01000000","investidor10"
"2025-06-25","ETF","AUVP11","Compra","40.00000000","99.70000000","investidor10"
"2025-06-17","FII","CPFF11","Venda","30.00000000","72.77800000","investidor10"
"2025-06-17","FII","CPTS11","Compra","233.00000000","9.37055794","investidor10"
"2025-05-28","ETF","SPYI11","Compra","7.00000000","111.62000000","investidor10"
"2025-05-28","FII","SNAG11","Compra","105.00000000","9.69000000","investidor10"
"2025-05-28","FII","MANA11","Compra","120.00000000","8.85000000","investidor10"
"2025-05-28","FII","VGRI11","Compra","70.00000000","8.07000000","investidor10"
"2025-05-27","Internacional","JEPI","Compra","4.46289000","56.02000000","investidor10"
"2025-05-27","Internacional","JEPQ","Compra","5.76600000","52.59000000","investidor10"
"2025-05-26","Ações","VIVA3","Venda","45.00000000","25.48000000","investidor10"
"2025-05-26","FII","VINO11","Venda","443.00000000","5.10000000","investidor10"
"2025-05-26","FII","INLG11","Venda","1.00000000","75.23000000","investidor10"
"2025-05-23","Stocks","IVR","Venda","32.83212000","7.33000000","investidor10"
"2025-05-23","Stocks","ORC","Venda","42.84926000","6.89000000","investidor10"
"2025-05-09","Internacional","JEPQ","Compra","6.00000000","51.61000000","investidor10"
"2025-05-08","FII","ITIT11","Compra","5.00000000","66.81000000","investidor10"
"2025-05-08","FII","MXRF11","Compra","50.00000000","9.31000000","investidor10"
"2025-05-08","FII","GARE11","Compra","245.00000000","8.70000000","investidor10"
"2025-05-05","ETF","HASH11","Compra","7.00000000","70.00000000","investidor10"
"2025-05-05","Internacional","DHS","Compra","2.12948000","93.92000000","investidor10"
"2025-05-05","Internacional","IVV","Compra","0.55103000","568.02000000","investidor10"
"2025-05-05","Internacional","JEPI","Compra","5.38237000","55.74000000","investidor10"
"2025-04-25","ETF","SPYI11","Compra","9.00000000","106.31000000","investidor10"
"2025-04-25","ETF","GOLD11","Compra","41.00000000","19.61000000","investidor10"
